timeindex,Mid-electricity-load-profile,South-electricity-load-profile,North-electricity-load-profile
2015-03-27T11:00:00Z,63535.3378928096,6584.30541252088,13059.0388001567
2015-03-27T12:00:00Z,62530.3177277326,6122.55611077495,12887.9891737744
2015-03-27T13:00:00Z,61357.1536535845,6231.31143533786,12749.1989067538
2015-03-27T14:00:00Z,59693.970187286,6303.20054818453,12467.8672844145
2015-03-27T15:00:00Z,59250.070267338,6189.83694715709,12393.595736117
2015-03-27T16:00:00Z,59562.3375270417,6093.98479669486,12340.3302822874
2015-03-27T17:00:00Z,61019.9050131045,5944.67663924408,12693.6827999455
2015-03-27T18:00:00Z,63370.076450751,5896.75056401296,13293.1067099429
2015-03-27T19:00:00Z,60648.0667684728,6249.74454119598,12932.2520156891
2015-03-27T20:00:00Z,57729.0885069969,6689.37411591217,12242.8019865432
2015-03-27T21:00:00Z,52321.5803912673,6457.11698209985,11560.8541339929
2015-03-27T22:00:00Z,48812.6572145359,5940.99001807245,11123.4772384629
2015-03-27T23:00:00Z,46298.1851571685,5284.77144952334,10946.4258708041
2015-03-28T00:00:00Z,45428.640941686,4794.45083369732,10867.6530165491
2015-03-28T01:00:00Z,46056.0579281059,4461.73327295823,10982.4363184635
2015-03-28T02:00:00Z,48078.588948648,4272.79393791249,11203.0003103774
2015-03-28T03:00:00Z,51454.9186427975,4192.60992742966,11928.4607871828
2015-03-28T04:00:00Z,57881.8592586673,4190.76661684385,13347.122381432
2015-03-28T05:00:00Z,61907.7048530004,4258.04745322599,14407.1799344062
2015-03-28T06:00:00Z,64097.4189602761,4620.25798333807,14494.2051829165
2015-03-28T07:00:00Z,63724.6198933068,5070.02576627623,14119.8465707904
2015-03-28T08:00:00Z,63790.9166345978,6024.8606497269,13802.5045007918
2015-03-28T09:00:00Z,64662.3824947553,6322.55530933556,13493.4148250484
2015-03-28T10:00:00Z,63846.6443301757,6454.35201622113,13167.070143135
2015-03-28T11:00:00Z,63328.7610902364,6509.65133379549,12954.0083278167
2015-03-28T12:00:00Z,62321.8192804843,6100.4363837452,12691.4321469668
2015-03-28T13:00:00Z,61269.7188208674,6321.63365404266,12585.6514569672
2015-03-28T14:00:00Z,59868.83985272,6423.93739155523,12353.8342001597
2015-03-28T15:00:00Z,59498.9232527634,6335.45848343625,12344.0813705853
2015-03-28T16:00:00Z,59735.2855478006,6247.90123061017,12236.8002452666
2015-03-28T17:00:00Z,60999.727744016,6063.57017202896,12608.1579867544
2015-03-28T18:00:00Z,62921.3724191153,6091.21983081614,13226.3373382411
2015-03-28T19:00:00Z,60130.1835285335,6335.45848343625,12772.4556542005
2015-03-28T20:00:00Z,57201.5970436821,6717.94542999226,12089.0073663311
2015-03-28T21:00:00Z,52383.0730208705,6428.54566801976,11395.0560312277
2015-03-28T22:00:00Z,48664.6905745533,5972.32629803126,10875.1551931448
2015-03-28T23:00:00Z,46756.4974121797,5291.22303657368,10716.8592669753
2015-03-29T00:00:00Z,45729.378333339,4776.0177278392,10665.8444661244
2015-03-29T01:00:00Z,45849.4811255328,4471.8714811802,10761.8723265495
2015-03-29T02:00:00Z,47280.1455861442,4265.42069556924,10969.6826182508
2015-03-29T03:00:00Z,50701.6339301586,4233.16276031753,11547.3502161206
2015-03-29T04:00:00Z,57847.2696545155,4216.57296504522,12927.7507097317
2015-03-29T05:00:00Z,62320.8584581468,4267.26400615505,14139.3522299393
2015-03-29T06:00:00Z,64159.8724122168,4642.37771036782,14224.8770431304
2015-03-29T07:00:00Z,64195.4228387062,5104.12701211375,13876.0258314298
2015-03-29T08:00:00Z,64626.832068266,5984.30781683904,13672.716845686
2015-03-29T09:00:00Z,65691.423218271,6293.98399525548,13413.8917531339
2015-03-29T10:00:00Z,64842.0562718771,6394.44442218223,13224.8369029219
2015-03-29T11:00:00Z,64180.0496813054,6440.52718682754,12910.4957035616
2015-03-29T12:00:00Z,63415.2351006158,5972.32629803126,12758.9517363282
2015-03-29T13:00:00Z,62645.6164082386,6113.33955784589,12702.6854118603
2015-03-29T14:00:00Z,61151.5376733488,6238.68467768111,12428.1057484573
2015-03-29T15:00:00Z,60901.7238655859,6140.06756134016,12460.3651078188
2015-03-29T16:00:00Z,60880.5857741598,6018.40906267656,12485.8725082443
2015-03-29T17:00:00Z,61969.1974826036,5777.85703122808,12890.9900444127
2015-03-29T18:00:00Z,63294.1714860846,5745.59909597637,13301.3591041982
2015-03-29T19:00:00Z,60348.2901991573,6075.55169083674,12827.2215433492
2015-03-29T20:00:00Z,57265.0113179604,6585.22706781379,12118.2658550543
2015-03-29T21:00:00Z,52428.2316707354,6361.26483163762,11325.2857888875
2015-03-29T22:00:00Z,48677.1812649414,5950.20657100152,10883.4075874001
2015-03-29T23:00:00Z,46397.1498579361,5246.06192722129,10744.6173203794
2015-03-30T00:00:00Z,45453.6223224623,4799.98076545475,10762.6225442091
2015-03-30T01:00:00Z,46288.576933793,4483.85299998798,10866.9027988895
2015-03-30T02:00:00Z,47874.8946130875,4324.40663431523,11100.9707086757
2015-03-30T03:00:00Z,50818.8542553397,4252.51752146855,11717.6496248433
2015-03-30T04:00:00Z,57137.2219470663,4257.12579793309,13043.2842293057
2015-03-30T05:00:00Z,61706.8929844525,4295.83532023514,14257.8866201515
2015-03-30T06:00:00Z,63616.0469691637,4657.12419505431,14449.1921233422
2015-03-30T07:00:00Z,63677.5395987669,5099.51873564922,14044.8248048333
2015-03-30T08:00:00Z,63899.4895587409,5950.20657100152,13798.7534124939
2015-03-30T09:00:00Z,64226.1691535078,6364.02979751634,13479.1606895166
2015-03-30T10:00:00Z,63181.7552725913,6517.02457613874,13149.8151369648
