timeindex,Mid-pv-profile,South-pv-profile,North-pv-profile
2016-01-09T13:00:00Z,0.062565323871507,0.646428049125428,0.002955449553432
2016-01-09T14:00:00Z,0.022360699008663,0.60361097923533,0
2016-01-09T15:00:00Z,0.00089495724982,0.475062194325698,0
2016-01-09T16:00:00Z,0,0.220430377176255,0
2016-01-09T17:00:00Z,0,0.04017726409064,0
2016-01-09T18:00:00Z,0,0.001416159554754,0
2016-01-09T19:00:00Z,0,0,0
2016-01-09T20:00:00Z,0,0,0
2016-01-09T21:00:00Z,0,0,0
2016-01-09T22:00:00Z,0,0,0
2016-01-09T23:00:00Z,0,0,0
2016-01-10T00:00:00Z,0,0,0
2016-01-10T01:00:00Z,0,0,0
2016-01-10T02:00:00Z,0,0,0
2016-01-10T03:00:00Z,0,0,0
2016-01-10T04:00:00Z,0,0,0
2016-01-10T05:00:00Z,0,0,0
2016-01-10T06:00:00Z,0,0,0
2016-01-10T07:00:00Z,0,0.00871056798762,0
2016-01-10T08:00:00Z,0.087147511873895,0.119107721211274,0
2016-01-10T09:00:00Z,0.147654205051331,0.362726722158386,0.010097785974225
2016-01-10T10:00:00Z,0.182670775205805,0.53165055880597,0.017240122395018
2016-01-10T11:00:00Z,0.192470518921424,0.591010587517242,0.016747547469446
2016-01-10T12:00:00Z,0.205777314333667,0.606153209795447,0.015023535229944
2016-01-10T13:00:00Z,0.165255879184776,0.588563295027835,0.005172036718505
2016-01-10T14:00:00Z,0.088187769262939,0.528293443138928,0.003448024479004
2016-01-10T15:00:00Z,0.008987233479999,0.392044125827283,0
2016-01-10T16:00:00Z,0,0.152554930956045,0
2016-01-10T17:00:00Z,0,0.022793048476233,0
2016-01-10T18:00:00Z,0,0.000698849687169,0
2016-01-10T19:00:00Z,0,0,0
2016-01-10T20:00:00Z,0,0,0
2016-01-10T21:00:00Z,0,0,0
2016-01-10T22:00:00Z,0,0,0
2016-01-10T23:00:00Z,0,0,0
2016-01-11T00:00:00Z,0,0,0
2016-01-11T01:00:00Z,0,0,0
2016-01-11T02:00:00Z,0,0,0
2016-01-11T03:00:00Z,0,0,0
2016-01-11T04:00:00Z,0,0,0
2016-01-11T05:00:00Z,0,0,0
2016-01-11T06:00:00Z,0,0,0
2016-01-11T07:00:00Z,0,0.007676797884336,0
