timeindex;s_be;s_bb;w_be;w_bb;h_bb;demand-profile-be;demand-profile-bb
2016-01-06 04:00:00;0.0;0.0;0.1263;0.083;0.45;1414.250467;1630.389658
2016-01-06 05:00:00;0.0;0.0;0.1206;0.0792;0.45;1477.986664;1703.8666260000002
2016-01-06 06:00:00;0.0;0.0;0.114;0.0787;0.45;1601.9934970000002;1846.825361
2016-01-06 07:00:00;0.0009;0.0023;0.1144;0.0816;0.45;1785.0655530000001;2057.876228
2016-01-06 08:00:00;0.0218;0.0348;0.1159;0.0881;0.45;1860.1024949999999;2144.381027
2016-01-06 09:00:00;0.0474;0.0719;0.1031;0.0872;0.45;1877.128949;2164.009626
2016-01-06 10:00:00;0.0734;0.1078;0.087;0.0784;0.45;1890.6898420000002;2179.643024
2016-01-06 11:00:00;0.0878;0.1223;0.0754;0.0708;0.45;1897.6209649999998;2187.6334269999998
2016-01-06 12:00:00;0.0744;0.1057;0.0679;0.0676;0.45;1884.060072;2172.00003
2016-01-06 13:00:00;0.0447;0.0636;0.0649;0.068;0.45;1867.1842940000001;2152.5451350000003
2016-01-06 14:00:00;0.0076;0.0118;0.0684;0.067;0.45;1838.405066;2119.367591
2016-01-06 15:00:00;0.0;0.0;0.0683;0.068;0.45;1814.899518;2092.269702
2016-01-06 16:00:00;0.0;0.0;0.0684;0.0664;0.45;1728.712509;1992.9107760000002
2016-01-06 17:00:00;0.0;0.0;0.063;0.0618;0.45;1718.466501;1981.098875
2016-01-06 18:00:00;0.0;0.0;0.0574;0.0573;0.45;1910.2777989999997;2202.2245980000002
2016-01-06 19:00:00;0.0;0.0;0.0507;0.0508;0.45;1898.8263780000002;2189.023063
2016-01-06 20:00:00;0.0;0.0;0.0434;0.043;0.45;1778.737137;2050.5806420000004
2016-01-06 21:00:00;0.0;0.0;0.0367;0.037000000000000005;0.45;1683.509532;1940.799451
2016-01-06 22:00:00;0.0;0.0;0.0289;0.0299;0.45;1617.362509;1864.543212
2016-01-06 23:00:00;0.0;0.0;0.0226;0.0256;0.45;1509.176718;1739.82344
2016-01-07 00:00:00;0.0;0.0;0.0223;0.0257;0.45;1453.275704;1675.3791019999999
2016-01-07 01:00:00;0.0;0.0;0.025;0.0281;0.45;1423.743092;1641.333036
2016-01-07 02:00:00;0.0;0.0;0.0253;0.0299;0.45;1376.882673;1587.310962
2016-01-07 03:00:00;0.0;0.0;0.0233;0.028999999999999998;0.45;1387.1286810000001;1599.122863
2016-01-07 04:00:00;0.0;0.0;0.0236;0.0302;0.45;1415.154527;1631.431884
2016-01-07 05:00:00;0.0;0.0;0.028999999999999998;0.0387;0.45;1481.753579;1708.209236
2016-01-07 06:00:00;0.0;0.0;0.0404;0.0509;0.45;1654.42895;1907.274498
2016-01-07 07:00:00;0.0022;0.0039;0.0574;0.0641;0.45;1834.939504;2115.37239
2016-01-07 08:00:00;0.0336;0.0471;0.0713;0.0752;0.45;1863.266703;2148.02882
2016-01-07 09:00:00;0.0752;0.1016;0.0761;0.081;0.45;1868.69106;2154.282179
2016-01-07 10:00:00;0.1092;0.1454;0.0796;0.0868;0.45;1900.3331440000002;2190.760107
2016-01-07 11:00:00;0.1142;0.1567;0.0937;0.1025;0.45;1923.085309;2216.989474
2016-01-07 12:00:00;0.0991;0.14300000000000002;0.1254;0.1252;0.45;1902.8946460000002;2193.713082
2016-01-07 13:00:00;0.0623;0.0932;0.1596;0.1508;0.45;1866.5815879999998;2151.8503170000004
2016-01-07 14:00:00;0.0117;0.0202;0.1636;0.1669;0.45;1852.116635;2135.174693
2016-01-07 15:00:00;0.0;0.0;0.226;0.2212;0.45;1833.1313850000001;2113.287937
2016-01-07 16:00:00;0.0;0.0;0.29;0.2526;0.45;1881.3478940000002;2168.87335
2016-01-07 17:00:00;0.0;0.0;0.2731;0.2544;0.45;1956.083482;2255.030741
2016-01-07 18:00:00;0.0;0.0;0.2506;0.2651;0.45;1970.096405;2271.1852519999998
2016-01-07 19:00:00;0.0;0.0;0.2434;0.2637;0.45;1928.509666;2223.242833
2016-01-07 20:00:00;0.0;0.0;0.2459;0.2701;0.45;1802.845391;2078.373349
2016-01-07 21:00:00;0.0;0.0;0.2747;0.2858;0.45;1675.2223199999999;1931.245708
2016-01-07 22:00:00;0.0;0.0;0.32899999999999996;0.3129;0.45;1618.5679220000002;1865.9328469999998
2016-01-07 23:00:00;0.0;0.0;0.3771;0.3326;0.45;1490.3421449999998;1718.1103879999998
2016-01-08 00:00:00;0.0;0.0;0.3677;0.3138;0.45;1439.865487;1659.919408
2016-01-08 01:00:00;0.0;0.0;0.287;0.2702;0.45;1410.031523;1625.525934
2016-01-08 02:00:00;0.0;0.0;0.2024;0.2729;0.45;1376.58132;1586.9635529999998
2016-01-08 03:00:00;0.0;0.0;0.2259;0.3365;0.45;1402.799046;1617.188122
2016-01-08 04:00:00;0.0;0.0;0.4621;0.4511;0.45;1429.619479;1648.107508
2016-01-08 05:00:00;0.0;0.0;0.7533;0.5268;0.45;1505.10845;1735.133421
2016-01-08 06:00:00;0.0;0.0;0.8601;0.573;0.45;1674.77029;1930.724594
2016-01-08 07:00:00;0.0025;0.0083;0.8678;0.5993;0.45;1841.7199510000003;2123.189088
2016-01-08 08:00:00;0.0467;0.0829;0.8341;0.5888;0.45;1922.030573;2215.773543
2016-01-08 09:00:00;0.1647;0.1844;0.7443;0.5584;0.45;1956.083482;2255.030741
2016-01-08 10:00:00;0.1852;0.2191;0.6046;0.5229;0.45;1925.496134;2219.768744
2016-01-08 11:00:00;0.1142;0.1813;0.7433;0.5872;0.45;1931.975228;2227.238034
2016-01-08 12:00:00;0.0527;0.1271;0.8993;0.6724;0.45;1918.112982;2211.257228
2016-01-08 13:00:00;0.040999999999999995;0.0804;1.1107;0.7376;0.45;1844.7334829999998;2126.663177
2016-01-08 14:00:00;0.0036;0.0164;1.1801;0.7703;0.45;1829.0631170000001;2108.597917
2016-01-08 15:00:00;0.0;0.0;1.1744;0.7885;0.45;1830.1178530000002;2109.8138480000002
2016-01-08 16:00:00;0.0;0.0;1.1084;0.7741;0.45;1901.237204;2191.8023329999996
2016-01-08 17:00:00;0.0;0.0;1.0057;0.7331;0.45;1983.506621;2286.644945
2016-01-08 18:00:00;0.0;0.0;0.8637;0.6575;0.45;1975.068732;2276.917497
2016-01-08 19:00:00;0.0;0.0;0.6937;0.5542;0.45;1922.4826030000002;2216.294656
2016-01-08 20:00:00;0.0;0.0;0.5194;0.4768;0.45;1796.0649440000002;2070.55665
